Area Type,Area Name,2010 Census Population,2020 Census Population,Population Change,Population Percent Change
Village,Whitehall village,2614,2465,-149,-0.057
Village,Whitesboro village,3772,3612,-160,-0.0424
Village,Whitney Point village,964,960,-4,-0.0041
Village,Williamsville village,5300,5423,123,0.0232
Village,Williston Park village,7287,7591,304,0.0417
Village,Wilson village,1264,1247,-17,-0.0134
Village,Windsor village,916,907,-9,-0.0098
Village,Wolcott village,1701,1556,-145,-0.0852
Village,Woodbury village,10686,11526,840,0.0786
Village,Woodridge village,847,747,-100,-0.1181
Village,Woodsburgh village,778,897,119,0.153
Village,Wurtsboro village,1246,1124,-122,-0.0979
Village,Wyoming village,434,377,-57,-0.1313
Village,Yorkville village,2689,2657,-32,-0.0119
Village,Youngstown village,1935,1859,-76,-0.0393
REDC,Capital Region,1079207,1106088,26881,0.0249
REDC,Central NY,791939,785114,-6825,-0.0086
REDC,Finger Lakes,1217156,1222868,5712,0.0047
REDC,Long Island,2832882,2921694,88812,0.0314
REDC,Mid-Hudson,2290851,2398150,107299,0.0468
REDC,Mohawk Valley,500155,483358,-16797,-0.0336
REDC,New York City,8175133,8804190,629057,0.0769
REDC,North Country,433193,421694,-11499,-0.0265
REDC,Southern Tier,657909,640036,-17873,-0.0272
REDC,Western NY,1399677,1418057,18380,0.0131
