Area Type,Area Name,2010 Census Population,2020 Census Population,Population Change,Population Percent Change
City,Mechanicville city,5196,5163,-33,-0.0064
City,Middletown city,28086,30345,2259,0.0804
City,Mount Vernon city,67292,73893,6601,0.0981
City,New Rochelle city,77062,79726,2664,0.0346
City,New York City,8175133,8804190,629057,0.0769
City,Newburgh city,28866,28856,-10,-0.0003
City,Niagara Falls city,50193,48671,-1522,-0.0303
City,North Tonawanda city,31568,30496,-1072,-0.034
City,Norwich city,7190,7051,-139,-0.0193
City,Ogdensburg city,11128,10064,-1064,-0.0956
City,Olean city,14452,13937,-515,-0.0356
City,Oneida city,11393,10329,-1064,-0.0934
City,Oneonta city,13901,13079,-822,-0.0591
City,Oswego city,18142,16921,-1221,-0.0673
City,Peekskill city,23583,25431,1848,0.0784
City,Plattsburgh city,19989,19841,-148,-0.0074
City,Port Jervis city,8828,8775,-53,-0.006
City,Poughkeepsie city,32736,31577,-1159,-0.0354
City,Rensselaer city,9392,9210,-182,-0.0194
City,Rochester city,210565,211328,763,0.0036
City,Rome city,33725,32127,-1598,-0.0474
City,Rye city,15720,16592,872,0.0555
City,Salamanca city,5815,5929,114,0.0196
City,Saratoga Springs city,26586,28491,1905,0.0717
City,Schenectady city,66135,67047,912,0.0138
City,Syracuse city,145170,148620,3450,0.0238
City,Tonawanda city,15130,15129,-1,-0.0001
City,Troy city,50129,51401,1272,0.0254
City,Utica city,62235,65283,3048,0.049
City,Watertown city,27023,24685,-2338,-0.0865
City,Watervliet city,10254,10375,121,0.0118
City,White Plains city,56853,59559,2706,0.0476
City,Yonkers city,195976,211569,15593,0.0796
Town,Palm Tree town,,32954,,
Town,Vernon town,5408,8318,2910,0.5381
Town,Shelter Island town,2392,3253,861,0.3599
Town,East Hampton town,21457,28385,6928,0.3229
Town,Watertown town,4470,5913,1443,0.3228
Town,Perry town,4616,5832,1216,0.2634
Town,Florence town,1025,1284,259,0.2527
Town,Montague town,78,97,19,0.2436
Town,Ovid town,2311,2847,536,0.2319
Town,Southampton town,56790,69036,12246,0.2156
Town,Ballston town,9776,11831,2055,0.2102
Town,Farmington town,11825,14170,2345,0.1983
Town,Halfmoon town,21535,25662,4127,0.1916
Town,Ramapo town,126595,148919,22324,0.1763
Town,Le Ray town,21782,25574,3792,0.1741
Town,Root town,1715,2013,298,0.1738
Town,Dickinson town,823,965,142,0.1725
Town,Malta town,14765,17130,2365,0.1602
Town,Benson town,192,221,29,0.151
Town,Lake Pleasant town,781,897,116,0.1485
Town,Schroon town,1654,1880,226,0.1366
Town,Centerville town,822,929,107,0.1302
Town,Green Island town,2620,2934,314,0.1198
Town,Ithaca town,19930,22283,2353,0.1181
Town,Long Lake town,711,791,80,0.1125
Town,Wallkill town,27426,30486,3060,0.1116
Town,French Creek town,906,1007,101,0.1115
Town,West Bloomfield town,2466,2740,274,0.1111
Town,Victor town,14275,15860,1585,0.111
Town,Hunter town,2732,3035,303,0.1109
Town,West Turin town,1524,1692,168,0.1102
